証券コード,企業名,17業種区分,EDINETコード
7244,市光工業,電機・精密,E02177
7245,大同メタル工業,自動車・輸送機,E02175
7246,プレス工業,自動車・輸送機,E02154
7247,ミクニ,自動車・輸送機,E02172
7254,ユニバンス,自動車・輸送機,E02183
7255,桜井製作所,自動車・輸送機,E01644
7256,河西工業,自動車・輸送機,E02174
7259,アイシン,自動車・輸送機,E01593
7261,マツダ,自動車・輸送機,E02163
7264,ムロコーポレーション,自動車・輸送機,E02234
7266,今仙電機製作所,自動車・輸送機,E02231
7267,本田技研工業,自動車・輸送機,E02166
7269,スズキ,自動車・輸送機,E02167
7271,安永,自動車・輸送機,E02227
7272,ヤマハ発動機,自動車・輸送機,E02168
7273,イクヨ,自動車・輸送機,E02226
7276,小糸製作所,電機・精密,E02140
7277,ＴＢＫ,自動車・輸送機,E02201
7278,エクセディ,自動車・輸送機,E02203
7282,豊田合成,自動車・輸送機,E01108
7283,愛三工業,自動車・輸送機,E02162
7284,盟和産業,自動車・輸送機,E02387
7287,日本精機,自動車・輸送機,E02214
7291,日本プラスト,自動車・輸送機,E02216
7292,村上開明堂,自動車・輸送機,E02217
7294,ヨロズ,自動車・輸送機,E02219
7296,エフ・シー・シー,自動車・輸送機,E02221
7297,カーメイト,自動車・輸送機,E02223
7299,フジオーゼックス,自動車・輸送機,E02225
7305,新家工業,鉄鋼・非鉄,E02258
7309,シマノ,自動車・輸送機,E02257
7313,テイ・エス　テック,自動車・輸送機,E02380
7314,小田原機器,自動車・輸送機,E22554
7317,松屋アールアンドディ,自動車・輸送機,E35560
7318,セレンディップ・ホールディングス,自動車・輸送機,E36657
7322,三十三フィナンシャルグループ,銀行,E33693
7326,ＳＢＩインシュアランスグループ,金融（除く銀行）,E33840
7327,第四北越フィナンシャルグループ,銀行,E34113
7337,ひろぎんホールディングス,銀行,E35810
7343,ブロードマインド,金融（除く銀行）,E36406
7345,アイ・パートナーズフィナンシャル,金融（除く銀行）,E34851
7347,マーキュリアホールディングス,金融（除く銀行）,E36498
7353,ＫＩＹＯラーニング,情報通信・サービスその他,E35790
7354,ダイレクトマーケティングミックス,情報通信・サービスその他,E35931
7357,ジオコード,情報通信・サービスその他,E36078
7358,ポピンズ,情報通信・サービスその他,E35908
7359,東京通信グループ,情報通信・サービスその他,E36173
7362,Ｔ．Ｓ．Ｉ,情報通信・サービスその他,E36353
7363,ベビーカレンダー,情報通信・サービスその他,E36431
7366,ＬＩＴＡＬＩＣＯ,情報通信・サービスその他,E36134
7367,セルム,情報通信・サービスその他,E35610
7368,表示灯,情報通信・サービスその他,E36464
7374,コンフィデンス・インターワークス,情報通信・サービスその他,E36367
7381,ＣＣＩグループ,銀行,E36700
7383,ネットプロテクションズホールディングス,金融（除く銀行）,E37194
7384,プロクレアホールディングス,銀行,E37412
7389,あいちフィナンシャルグループ,銀行,E37781
7399,ナンシン,自動車・輸送機,E02447
7412,アトム,小売,E03231
7413,創健社,商社・卸売,E02791
7414,小野建,商社・卸売,E01324
7416,はるやまホールディングス,小売,E03233
7417,南陽,商社・卸売,E02792
7419,ノジマ,小売,E03235
7421,カッパ・クリエイト,小売,E03236
7422,東邦レマック,商社・卸売,E02794
7425,初穂商事,商社・卸売,E02797
7426,山大,商社・卸売,E02798
7427,エコートレーディング,商社・卸売,E02801
7433,伯東,商社・卸売,E02802
7435,ナ・デックス,商社・卸売,E02011
7438,コンドーテック,商社・卸売,E02804
7442,中山福,商社・卸売,E02805
7443,横浜魚類,商社・卸売,E02806
7444,ハリマ共和物産,商社・卸売,E02807
7455,パリミキホールディングス,小売,E03249
7456,松田産業,商社・卸売,E02821
7458,第一興商,商社・卸売,E02824
7459,メディパルホールディングス,商社・卸売,E02632
7461,キムラ,商社・卸売,E02823
7462,ＣＡＰＩＴＡ,小売,E03252
7463,アドヴァングループ,小売,E02826
7464,セフテック,商社・卸売,E03251
7466,ＳＰＫ,商社・卸売,E02827
7467,萩原電気ホールディングス,商社・卸売,E02828
7472,鳥羽洋行,商社・卸売,E02833
7475,アルビス,小売,E02832
7476,アズワン,商社・卸売,E02835
7477,ムラキ,商社・卸売,E02836
7481,尾家産業,商社・卸売,E02837
7482,シモジマ,商社・卸売,E02839
7483,ドウシシャ,商社・卸売,E02840
7486,サンリン,商社・卸売,E02841
7502,プラザホールディングス,情報通信・サービスその他,E04960
7504,高速,商社・卸売,E02850
7506,ハウス　オブ　ローゼ,小売,E03266
7508,Ｇ‐７ホールディングス,小売,E03267
7509,アイエーグループ,小売,E03269
7512,イオン北海道,小売,E03268
7515,マルヨシセンター,小売,E03272
7516,コーナン商事,小売,E03273
7521,ムサシ,商社・卸売,E02855
7522,ワタミ,小売,E03275
7523,アールビバン,小売,E03276
7524,マルシェ,小売,E03278
7525,リックス,商社・卸売,E02856
7531,清和中央ホールディングス,商社・卸売,E02861
7537,丸文,商社・卸売,E02864
7538,大水,商社・卸売,E02818
7544,スリーエフ,小売,E03286
7545,西松屋チェーン,小売,E03287
7551,ウェッズ,自動車・輸送機,E02870
7552,ハピネット,商社・卸売,E02869
7554,幸楽苑,小売,E03293
7555,大田花き,商社・卸売,E02871
7561,ハークスレイ,小売,E03294
7562,安楽亭,小売,E03295
7564,ワークマン,小売,E03296
7565,萬世電機,商社・卸売,E02875
7567,栄電子,商社・卸売,E02878
7571,ヤマノホールディングス,小売,E03299
7575,日本ライフライン,商社・卸売,E02881
7578,ニチリョク,小売,E03304
7593,ＶＴホールディングス,小売,E02889
7595,アルゴグラフィックス,情報通信・サービスその他,E05018
7596,魚力,小売,E03310
7599,ＩＤＯＭ,商社・卸売,E02892
7601,ポプラ,小売,E03312
7602,レダックス,商社・卸売,E02895
7603,ジーイエット,小売,E03313
7604,梅の花グループ,小売,E03314
7606,ユナイテッドアローズ,小売,E03316
7608,エスケイジャパン,商社・卸売,E02897
7609,ダイトロン,商社・卸売,E02898
7611,ハイデイ日高,小売,E03318
7613,シークス,商社・卸売,E02900
7614,オーエムツーネットワーク,小売,E03317
7615,京都きもの友禅ホールディングス,小売,E03320
7616,コロワイド,小売,E03321
7619,田中商事,商社・卸売,E02902
7621,うかい,小売,E03324
7624,ＮａＩＴＯ,商社・卸売,E02903
7625,グローバルダイニング,小売,E03327
7628,オーハシテクニカ,商社・卸売,E02905
7634,星医療酸器,商社・卸売,E03330
7635,杉田エース,商社・卸売,E02910
7637,白銅,商社・卸売,E03332
7638,ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,小売,E03333
7649,スギホールディングス,小売,E03344
7674,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,小売,E34747
7677,ヤシマキザイ,商社・卸売,E34499
7678,あさくま,小売,E34704
7679,薬王堂ホールディングス,小売,E34943
7683,ダブルエー,小売,E35170
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,商社・卸売,E35116
7686,ひとまいる,小売,E35334
7687,ミクリード,商社・卸売,E35491
7689,コパ・コーポレーション,商社・卸売,E35554
7694,いつも,小売,E36123
7695,交換できるくん,小売,E35766
7698,アイスコ,商社・卸売,E36435
7701,島津製作所,電機・精密,E02265
7702,ＪＭＳ,電機・精密,E02303
7709,クボテック,電機・精密,E02337
7715,長野計器,電機・精密,E02329
7716,ナカニシ,電機・精密,E02331
7717,ブイ・テクノロジー,電機・精密,E02334
7718,スター精密,機械,E02302
7719,東京衡機,電機・精密,E01587
7721,東京計器,電機・精密,E02266
7722,国際計測器,電機・精密,E02335
7723,愛知時計電機,電機・精密,E02267
7726,黒田精工,機械,E02269
7727,オーバル,電機・精密,E02270
7729,東京精密,電機・精密,E02289
7731,ニコン,電機・精密,E02271
7732,トプコン,電機・精密,E02299
7733,オリンパス,電機・精密,E02272
7734,理研計器,電機・精密,E02285
7735,ＳＣＲＥＥＮホールディングス,電機・精密,E02288
7739,キヤノン電子,電機・精密,E02301
7741,ＨＯＹＡ,電機・精密,E01124
7743,シード,電機・精密,E02414
7744,ノーリツ鋼機,電機・精密,E02322
7745,Ａ＆Ｄホロンホールディングス,電機・精密,E02344
7746,岡本硝子,電機・精密,E01221
7749,メディキット,電機・精密,E02354
7751,キヤノン,電機・精密,E02274
7752,リコー,電機・精密,E02275
7762,シチズン時計,電機・精密,E02281
7769,リズム,電機・精密,E02294
7771,日本精密,電機・精密,E02325
7774,ジャパン・ティッシュエンジニアリング,電機・精密,E02357
7775,大研医器,電機・精密,E22509
7776,セルシード,電機・精密,E24158
7777,スリー・ディー・マトリックス,電機・精密,E25884
7779,ＣＹＢＥＲＤＹＮＥ,電機・精密,E30118
7782,シンシア,電機・精密,E32784
7791,ドリームベッド,情報通信・サービスその他,E36627
7793,イメージ・マジック,情報通信・サービスその他,E37419
7794,イーディーピー,情報通信・サービスその他,E37709
7795,ＫＹＯＲＩＴＳＵ,情報通信・サービスその他,E37814
7807,幸和製作所,情報通信・サービスその他,E33491
7811,中本パックス,情報通信・サービスその他,E31924
7814,日本創発グループ,情報通信・サービスその他,E30930
7815,東京ボード工業,情報通信・サービスその他,E31123
7817,パラマウントベッドホールディングス,情報通信・サービスその他,E25664
7822,永大産業,情報通信・サービスその他,E00631
7823,アートネイチャー,情報通信・サービスその他,E03493
7832,バンダイナムコホールディングス,情報通信・サービスその他,E02481
7833,アイフィスジャパン,情報通信・サービスその他,E05512
7836,アビックス,情報通信・サービスその他,E02096
7837,アールシーコア,情報通信・サービスその他,E02980
7841,遠藤製作所,情報通信・サービスその他,E01459
7844,マーベラス,情報通信・サービスその他,E02467
7846,パイロットコーポレーション,情報通信・サービスその他,E02466
7847,グラファイトデザイン,情報通信・サービスその他,E02464
7849,スターツ出版,情報通信・サービスその他,E00736
7851,カワセコンピュータサプライ,情報通信・サービスその他,E02459
7857,セキ,情報通信・サービスその他,E00730
7859,アルメディオ,情報通信・サービスその他,E02046
7863,平賀,情報通信・サービスその他,E00734
7864,フジシールインターナショナル,情報通信・サービスその他,E00725
7865,ピープル,情報通信・サービスその他,E02882
7867,タカラトミー,情報通信・サービスその他,E02450
7868,広済堂ホールディングス,情報通信・サービスその他,E00724
7871,フクビ化学工業,素材・化学,E00829
7872,エステールホールディングス,情報通信・サービスその他,E03281
7874,レック,素材・化学,E02444
7875,竹田ｉＰホールディングス,情報通信・サービスその他,E00720
7877,永大化工,素材・化学,E02441
7878,光・彩,情報通信・サービスその他,E02439
7883,サンメッセ,情報通信・サービスその他,E00719
7885,タカノ,情報通信・サービスその他,E02435
7886,ヤマト　モビリティ　＆　Ｍｆｇ．,素材・化学,E00867
7887,南海プライウッド,情報通信・サービスその他,E00635
7893,プロネクサス,情報通信・サービスその他,E00716
7896,セブン工業,情報通信・サービスその他,E00633
7897,ホクシン,情報通信・サービスその他,E00632
7898,ウッドワン,情報通信・サービスその他,E00630
7901,マツモト,情報通信・サービスその他,E00715
7902,ソノコム,情報通信・サービスその他,E02428
7906,ヨネックス,情報通信・サービスその他,E02427
7908,きもと,素材・化学,E02425
7911,ＴＯＰＰＡＮホールディングス,情報通信・サービスその他,E00692
7912,大日本印刷,情報通信・サービスその他,E00693
7914,共同印刷,情報通信・サービスその他,E00695
7915,ＮＩＳＳＨＡ,情報通信・サービスその他,E00703
7916,光村印刷,情報通信・サービスその他,E00696
7917,ＺＡＣＲＯＳ,素材・化学,E02423
7918,ヴィア・ホールディングス,小売,E00705
7919,野崎印刷紙業,情報通信・サービスその他,E00652
7922,三光産業,情報通信・サービスその他,E00712
7923,トーイン,情報通信・サービスその他,E00713
7925,前澤化成工業,素材・化学,E00861
7927,ムトー精工,素材・化学,E01032
7931,未来工業,素材・化学,E02002
7932,ニッピ,情報通信・サービスその他,E01120
7936,アシックス,情報通信・サービスその他,E02378
7937,ツツミ,情報通信・サービスその他,E03180
7938,リーガルコーポレーション,情報通信・サービスその他,E01118
7939,研創,情報通信・サービスその他,E01428
7942,ＪＳＰ,素材・化学,E00858
7943,ニチハ,建設・資材,E02415
7944,ローランド,情報通信・サービスその他,E01834
7946,光陽社,情報通信・サービスその他,E00711
7947,エフピコ,素材・化学,E02412
7949,小松ウオール工業,情報通信・サービスその他,E02408
7951,ヤマハ,情報通信・サービスその他,E02362
7952,河合楽器製作所,情報通信・サービスその他,E02363
7953,菊水化学工業,情報通信・サービスその他,E00912
7955,クリナップ,情報通信・サービスその他,E02406
7956,ピジョン,情報通信・サービスその他,E02404
7957,フジコピアン,情報通信・サービスその他,E02402
7963,興研,情報通信・サービスその他,E02396
7966,リンテック,情報通信・サービスその他,E02394
7971,東リ,素材・化学,E00995
7972,イトーキ,情報通信・サービスその他,E02371
7974,任天堂,情報通信・サービスその他,E02367
7975,リヒトラブ,情報通信・サービスその他,E00667
7976,三菱鉛筆,情報通信・サービスその他,E02366
7979,松風,電機・精密,E01183
7981,タカラスタンダード,情報通信・サービスその他,E02373
7984,コクヨ,情報通信・サービスその他,E00670
7985,ネポン,建設・資材,E02385
7986,日本アイ・エス・ケイ,情報通信・サービスその他,E01656
7987,ナカバヤシ,情報通信・サービスその他,E00679
7988,ニフコ,素材・化学,E02386
7989,立川ブラインド工業,建設・資材,E02389
7991,マミヤ・オーピー,機械,E02377
7992,セーラー万年筆,情報通信・サービスその他,E02365
7994,オカムラ,情報通信・サービスその他,E02369
7995,バルカー,素材・化学,E01164
7999,ＭＵＴＯＨホールディングス,電機・精密,E02305
8001,伊藤忠商事,商社・卸売,E02497
8002,丸紅,商社・卸売,E02498
8005,スクロール,小売,E03054
8006,ユアサ・フナショク,商社・卸売,E00456
8007,高島,商社・卸売,E02501
8008,ヨンドシーホールディングス,小売,E02621
8011,三陽商会,素材・化学,E00593
8012,長瀬産業,商社・卸売,E02552
8013,ナイガイ,素材・化学,E00571
8014,蝶理,商社・卸売,E02509
8015,豊田通商,商社・卸売,E02505
8016,オンワードホールディングス,素材・化学,E02521
8018,三共生興,商社・卸売,E02534
8022,美津濃,情報通信・サービスその他,E03036
8023,ＤＡＩＫＯ　ＸＴＥＣＨ,情報通信・サービスその他,E02683
8025,ツカモトコーポレーション,商社・卸売,E02588
8029,ルックホールディングス,素材・化学,E00604
8031,三井物産,商社・卸売,E02513
8032,日本紙パルプ商事,商社・卸売,E02510
8035,東京エレクトロン,電機・精密,E02652
8037,カメイ,商社・卸売,E02682
8039,築地魚市場,商社・卸売,E02571
8041,ＯＵＧホールディングス,商社・卸売,E02530
8043,スターゼン,商社・卸売,E02574
8045,横浜丸魚,商社・卸売,E02615
8046,丸藤シートパイル,商社・卸売,E02616
8051,山善,商社・卸売,E02560
8052,椿本興業,商社・卸売,E02572
8053,住友商事,商社・卸売,E02528
8056,ＢＩＰＲＯＧＹ,情報通信・サービスその他,E02611
8058,三菱商事,商社・卸売,E02529
8059,第一実業,商社・卸売,E02578
8061,西華産業,商社・卸売,E02512
8065,佐藤商事,商社・卸売,E02535
8066,三谷商事,商社・卸売,E02602
8074,ユアサ商事,商社・卸売,E02525
8075,神鋼商事,商社・卸売,E02522
8076,カノークス,商社・卸売,E02561
8078,阪和興業,商社・卸売,E02554
8081,カナデン,商社・卸売,E02580
8084,ＲＹＯＤＥＮ,商社・卸売,E02518
8085,ナラサキ産業,商社・卸売,E02579
8086,ニプロ,電機・精密,E02688
8088,岩谷産業,商社・卸売,E02567
8089,ナイス,商社・卸売,E02584
8091,ニチモウ,商社・卸売,E00570
8093,極東貿易,商社・卸売,E02503
8097,三愛オブリ,商社・卸売,E04331
8098,稲畑産業,商社・卸売,E02517
8101,ＧＳＩクレオス,商社・卸売,E02549
8103,明和産業,商社・卸売,E02563
8104,クワザワホールディングス,商社・卸売,E02610
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,商社・卸売,E02627
8107,キムラタン,素材・化学,E02628
8111,ゴールドウイン,素材・化学,E00603
8113,ユニ・チャーム,素材・化学,E00678
8115,ムーンバット,商社・卸売,E02639
8117,中央自動車工業,商社・卸売,E02642
8118,キング,素材・化学,E02645
8119,三栄コーポレーション,商社・卸売,E02647
8123,川辺,商社・卸売,E02650
8125,ワキタ,商社・卸売,E02618
8129,東邦ホールディングス,商社・卸売,E02608
8131,ミツウロコグループホールディングス,商社・卸売,E01074
8132,シナネンホールディングス,商社・卸売,E01075
8133,伊藤忠エネクス,商社・卸売,E02643
8135,ゼット,商社・卸売,E03076
8136,サンリオ,商社・卸売,E02655
8137,サンワテクノス,商社・卸売,E02656
8138,三京化成,商社・卸売,E02658
8139,ナガホリ,商社・卸売,E02660
8141,新光商事,商社・卸売,E02664
8142,トーホー,商社・卸売,E02665
8143,ラピーヌ,素材・化学,E00605
8144,デンキョーグループホールディングス,商社・卸売,E02666
8147,トミタ,商社・卸売,E02668
8152,ソマール,商社・卸売,E02673
8153,モスフードサービス,商社・卸売,E02675
8154,加賀電子,商社・卸売,E02676
8157,都築電気,情報通信・サービスその他,E00157
8158,ソーダニッカ,商社・卸売,E02635
8159,立花エレテック,商社・卸売,E02678
8163,ＳＲＳホールディングス,小売,E03090
8165,千趣会,小売,E03092
8166,タカキュー,小売,E03093
8167,リテールパートナーズ,小売,E03094
8173,上新電機,小売,E03052
8174,日本瓦斯,小売,E03051
8179,ロイヤルホールディングス,小売,E04783
8181,東天紅,小売,E04784
8185,チヨダ,小売,E03077
8194,ライフコーポレーション,小売,E03083
8198,マックスバリュ東海,小売,E03087
8202,ラオックスホールディングス,小売,E03101
8203,ＭｒＭａｘＨＤ,小売,E03103
8207,テンアライド,小売,E03108
8209,フレンドリー,小売,E03110
8214,ＡＯＫＩホールディングス,小売,E03116
8217,オークワ,小売,E03119
8218,コメリ,小売,E03120
8219,青山商事,小売,E03124
8225,タカチホ,商社・卸売,E02787
8226,理経,商社・卸売,E02699
8227,しまむら,小売,E03137
8233,高島屋,小売,E03013
8237,松屋,小売,E03017
8242,エイチ・ツー・オー　リテイリング,小売,E03020
8244,近鉄百貨店,小売,E03021
8247,大和,小売,E03025
8252,丸井グループ,小売,E03040
8253,クレディセゾン,金融（除く銀行）,E03041
8254,さいか屋,小売,E03044
8255,アクシアル　リテイリング,小売,E03133
8267,イオン,小売,E03061
8273,イズミ,小売,E03068
8275,フォーバル,商社・卸売,E02693
8276,平和堂,小売,E03081
8278,フジ,小売,E03118
8281,ゼビオホールディングス,小売,E03129
8282,ケーズホールディングス,小売,E03128
8283,ＰＡＬＴＡＣ,商社・卸売,E02691
8285,三谷産業,商社・卸売,E02692
8289,Ｏｌｙｍｐｉｃグループ,小売,E03132
8291,日産東京販売ホールディングス,小売,E02544
8304,あおぞら銀行,銀行,E03531
8306,三菱ＵＦＪフィナンシャル・グループ,銀行,E03606
8308,りそなホールディングス,銀行,E03610
8309,三井住友トラストグループ,銀行,E03611
8316,三井住友フィナンシャルグループ,銀行,E03614
8331,千葉銀行,銀行,E03556
8334,群馬銀行,銀行,E03554
8336,武蔵野銀行,銀行,E03555
8337,千葉興業銀行,銀行,E03557
8338,筑波銀行,銀行,E03552
8341,七十七銀行,銀行,E03545
8343,秋田銀行,銀行,E03546
8344,山形銀行,銀行,E03549
8345,岩手銀行,銀行,E03543
8346,東邦銀行,銀行,E03550
8349,東北銀行,銀行,E03544
8354,ふくおかフィナンシャルグループ,銀行,E03624
8358,スルガ銀行,銀行,E03571
8359,八十二銀行,銀行,E03563
8361,大垣共立銀行,銀行,E03568
8362,福井銀行,銀行,E03567
8364,清水銀行,銀行,E03572
8365,富山銀行,銀行,E03565
8366,滋賀銀行,銀行,E03575
8367,南都銀行,銀行,E03580
8368,百五銀行,銀行,E03574
8377,ほくほくフィナンシャルグループ,銀行,E03618
8381,山陰合同銀行,銀行,E03583
8383,鳥取銀行,銀行,E03582
8386,百十四銀行,銀行,E03588
8387,四国銀行,銀行,E03590
8388,阿波銀行,銀行,E03587
8392,大分銀行,銀行,E03596
8393,宮崎銀行,銀行,E03597
8395,佐賀銀行,銀行,E03599
8399,琉球銀行,銀行,E03602
8411,みずほフィナンシャルグループ,銀行,E03615
8416,高知銀行,銀行,E03664
8418,山口フィナンシャルグループ,銀行,E03622
8424,芙蓉総合リース,金融（除く銀行）,E05438
8425,みずほリース,金融（除く銀行）,E05426
8439,東京センチュリー,金融（除く銀行）,E05346
8473,ＳＢＩホールディングス,金融（除く銀行）,E05159
8508,Ｊトラスト,金融（除く銀行）,E03724
8511,日本証券金融,金融（除く銀行）,E03688
8515,アイフル,金融（除く銀行）,E03721
8518,日本アジア投資,金融（除く銀行）,E03695
8522,名古屋銀行,銀行,E03652
8524,北洋銀行,銀行,E03632
8537,大光銀行,銀行,E03645
8541,愛媛銀行,銀行,E03663
8542,トマト銀行,銀行,E03678
8544,京葉銀行,銀行,E03641
8551,北日本銀行,銀行,E03634
8558,東和銀行,銀行,E03640
8562,福島銀行,銀行,E03637
8563,大東銀行,銀行,E03674
8566,リコーリース,金融（除く銀行）,E04946
8572,アコム,金融（除く銀行）,E03693
8584,ジャックス,金融（除く銀行）,E04768
8585,オリエントコーポレーション,金融（除く銀行）,E04775
8591,オリックス,金融（除く銀行）,E04762
8593,三菱ＨＣキャピタル,金融（除く銀行）,E04788
8595,ジャフコ　グループ,金融（除く銀行）,E04806
8596,九州リースサービス,金融（除く銀行）,E04821
8601,大和証券グループ本社,金融（除く銀行）,E03753
8604,野村ホールディングス,金融（除く銀行）,E03752
8609,岡三証券グループ,金融（除く銀行）,E03756
8613,丸三証券,金融（除く銀行）,E03760
8614,東洋証券,金融（除く銀行）,E03768
8616,東海東京フィナンシャル・ホールディングス,金融（除く銀行）,E03764
8617,光世証券,金融（除く銀行）,E03793
8622,水戸証券,金融（除く銀行）,E03762
8624,いちよし証券,金融（除く銀行）,E03772
8628,松井証券,金融（除く銀行）,E03807
8697,日本取引所グループ,金融（除く銀行）,E03814
8698,マネックスグループ,金融（除く銀行）,E03815
8699,ＨＳホールディングス,金融（除く銀行）,E03770
8704,トレイダーズホールディングス,金融（除く銀行）,E03819
8705,日産証券グループ,金融（除く銀行）,E03739
8706,極東証券,金融（除く銀行）,E03784
8707,岩井コスモホールディングス,金融（除く銀行）,E03788
8708,アイザワ証券グループ,金融（除く銀行）,E03763
8713,フィデアホールディングス,銀行,E23187
8714,池田泉州ホールディングス,銀行,E23250
8715,アニコム　ホールディングス,金融（除く銀行）,E24073
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,金融（除く銀行）,E03854
8729,ソニーフィナンシャルグループ,金融（除く銀行）,E05714
8737,あかつき本社,金融（除く銀行）,E03733
8739,スパークス・グループ,金融（除く銀行）,E05242
8742,小林洋行,金融（除く銀行）,E03723
8746,ｕｎｂａｎｋｅｄ,金融（除く銀行）,E03717
8747,豊トラスティ証券,金融（除く銀行）,E03716
8766,東京海上ホールディングス,金融（除く銀行）,E03847
8769,アドバンテッジリスクマネジメント,情報通信・サービスその他,E05648
8771,イー・ギャランティ,金融（除く銀行）,E05665
8772,アサックス,金融（除く銀行）,E03746
8783,ａｂｃ,金融（除く銀行）,E03740
8793,ＮＥＣキャピタルソリューション,金融（除く銀行）,E05462
8795,Ｔ＆Ｄホールディングス,金融（除く銀行）,E03851
8801,三井不動産,不動産,E03855
8802,三菱地所,不動産,E03856
8803,平和不動産,不動産,E03858
8804,東京建物,不動産,E03859
8818,京阪神ビルディング,不動産,E03867
8835,太平洋興発,商社・卸売,E00034
8836,ＲＩＳＥ,不動産,E00165
8841,テーオーシー,不動産,E00926
8844,コスモスイニシア,不動産,E03938
8848,レオパレス２１,不動産,E03943
8864,空港施設,不動産,E03958
8869,明和地所,不動産,E03967
8871,ゴールドクレスト,不動産,E03971
8876,リログループ,情報通信・サービスその他,E05047
8877,エスリード,不動産,E03977
8881,日神グループホールディングス,不動産,E03984
8891,ＡＭＧホールディングス,不動産,E03991
8892,エスコン,不動産,E03992
8897,ＭＩＲＡＲＴＨホールディングス,不動産,E03997
8898,センチュリー２１・ジャパン,不動産,E05238
8914,エリアリンク,不動産,E04011
8918,ランド,不動産,E04015
8919,カチタス,不動産,E33622
8929,青山財産ネットワークス,不動産,E05407
8931,和田興産,不動産,E04029
8934,サンフロンティア不動産,不動産,E04031
8935,ＦＪネクストホールディングス,不動産,E04032
8938,グローム・ホールディングス,不動産,E04034
8946,ＡＳＩＡＮ　ＳＴＡＲ,不動産,E04039
8995,誠建設工業,不動産,E04049
8996,ハウスフリーダム,不動産,E04048
8999,グランディハウス,不動産,E04044
9001,東武鉄道,運輸・物流,E04094
9003,相鉄ホールディングス,運輸・物流,E04097
9005,東急,運輸・物流,E04090
9006,京浜急行電鉄,運輸・物流,E04089
9007,小田急電鉄,運輸・物流,E04088
9008,京王電鉄,運輸・物流,E04092
9009,京成電鉄,運輸・物流,E04091
9012,秩父鉄道,運輸・物流,E04136
9017,新潟交通,運輸・物流,E04155
9021,西日本旅客鉄道,運輸・物流,E04148
9022,東海旅客鉄道,運輸・物流,E04149
9023,東京地下鉄,運輸・物流,E04153
9024,西武ホールディングス,運輸・物流,E04154
9025,鴻池運輸,運輸・物流,E04341
9029,ヒガシホールディングス,運輸・物流,E04228
9031,西日本鉄道,運輸・物流,E04110
9033,広島電鉄,運輸・物流,E04123
9034,南総通運,運輸・物流,E04223
9036,東部ネットワーク,運輸・物流,E04221
9037,ハマキョウレックス,運輸・物流,E04220
9039,サカイ引越センター,運輸・物流,E04218
9041,近鉄グループホールディングス,運輸・物流,E04102
9042,阪急阪神ホールディングス,運輸・物流,E04103
9044,南海電気鉄道,運輸・物流,E04106
9045,京阪ホールディングス,運輸・物流,E04105
9046,神戸電鉄,運輸・物流,E04109
9048,名古屋鉄道,運輸・物流,E04101
9049,京福電気鉄道,運輸・物流,E04108
9051,センコン物流,運輸・物流,E04215
9052,山陽電気鉄道,運輸・物流,E04125
9057,遠州トラック,運輸・物流,E04209
9059,カンダホールディングス,運輸・物流,E04194
9063,岡山県貨物運送,運輸・物流,E04195
9064,ヤマトホールディングス,運輸・物流,E04187
9065,山九,運輸・物流,E04324
9067,丸運,運輸・物流,E04182
9068,丸全昭和運輸,運輸・物流,E04178
9069,センコーグループホールディングス,運輸・物流,E04179
9072,ニッコンホールディングス,運輸・物流,E04191
9073,京極運輸商事,運輸・物流,E04197
9074,日本石油輸送,運輸・物流,E04327
9075,福山通運,運輸・物流,E04334
9076,セイノーホールディングス,運輸・物流,E04198
9081,神奈川中央交通,運輸・物流,E04158
9082,大和自動車交通,運輸・物流,E04159
9083,神姫バス,運輸・物流,E04160
9087,タカセ,運輸・物流,E04354
9101,日本郵船,運輸・物流,E04235
9104,商船三井,運輸・物流,E04236
9107,川崎汽船,運輸・物流,E04237
9115,明海グループ,運輸・物流,E04242
9119,飯野海運,運輸・物流,E04243
9127,玉井商船,運輸・物流,E04246
9142,九州旅客鉄道,運輸・物流,E32679
9143,ＳＧホールディングス,運輸・物流,E32292
9145,ビーイングホールディングス,運輸・物流,E36140
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,運輸・物流,E36706
9158,シーユーシー,情報通信・サービスその他,E37214
9166,ＧＥＮＤＡ,情報通信・サービスその他,E38739
9168,ライズ・コンサルティング・グループ,情報通信・サービスその他,E38895
9171,栗林商船,運輸・物流,E04254
9173,東海汽船,運輸・物流,E04256
9193,東京汽船,運輸・物流,E04336
9201,日本航空,運輸・物流,E04272
9202,ＡＮＡホールディングス,運輸・物流,E04273
9204,スカイマーク,運輸・物流,E38082
9206,スターフライヤー,運輸・物流,E26084
9211,エフ・コード,情報通信・サービスその他,E37176
9213,セイファート,情報通信・サービスその他,E37304
9214,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,情報通信・サービスその他,E37292
9218,メンタルヘルステクノロジーズ,情報通信・サービスその他,E37508
9221,フルハシＥＰＯ,情報通信・サービスその他,E37560
